,assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled,assetSubType
ABC,EQUITY,EQUITY,03073E105,ABC,AmerisourceBergen Corporation Common Stock,99.35,100,P,125.0,800,P,116.62,168800,N,116.18,116.92,115.05, ,116.62,0.0,776050,1625270400047,1625266800005,116.62,n,NYSE,True,True,0.0223,2,125.86,92.0,0.0,0.0,1.76,1.51,2021-05-14 00:00:00.000,Normal,116.62,1688,0.0,1625266800005,0.0,0.0,0.0,0.0,True,False,
ABCB,EQUITY,EQUITY,03076K108,ABCB,Ameris Bancorp - Common Stock,40.9,0, ,56.5,100,Q,50.39,2300,D,51.11,51.24,50.13, ,50.39,0.0,195489,1625258193076,1625262264926,50.39,q,NASD,True,True,0.0855,4,59.85,19.91,0.0,9.5449,0.6000000000000001,1.19,2021-06-29 00:00:00.000,Normal,50.39,355,0.0,1625256000834,0.0,0.0,0.0,0.0,True,False,
ABCFF,EQUITY,EQUITY,002555506,ABCFF,Abacus Mining & Exploration Corporation Common Shares,0.1116,0, ,0.145,0, ,0.129,700,u,0.126,0.1295,0.12140000000000001, ,0.129,0.0,49034,1625256381436,1625246497953,0.129,9,Pink Sheet,False,False,0.0,4,0.21,0.055200000000000006,0.0,0.0,0.0,0.0,,Normal,0.129,7,0.0,1625246497953,0.0,0.0,0.0,0.0,False,True,
ABCL,EQUITY,EQUITY,00288U106,ABCL,AbCellera Biologics Inc. - Common Shares,20.25,100,P,20.65,800,P,20.55,100,P,20.22,20.59,19.83, ,20.48,0.07,1781991,1625270341645,1625270341645,20.48,q,NASD,True,True,0.0771,4,71.91,19.8,0.0,0.0,0.0,0.0,,Normal,20.48,384,0.0,1625256000505,0.3418,0.0,0.0,0.0,True,False,
ABCM,EQUITY,EQUITY,000380204,ABCM,Abcam plc - American Depositary Shares,18.0,500,Q,20.82,100,Q,19.16,0,D,19.64,19.68,19.04, ,19.16,0.0,341809,1625256009991,1625256003377,19.16,q,NASD,False,False,0.0665,4,24.69,17.71,0.0,0.0,0.0,0.0,,Normal,19.16,124,0.0,1625256000416,0.0,0.0,0.0,0.0,True,False,ADR
ABCP,EQUITY,EQUITY,023164106,ABCP,AmBase Corporation Common Stock,0.23800000000000002,0, ,0.2936,0, ,0.28,0, ,0.0,0.0,0.0, ,0.27,0.01,0,1624294369708,1625163760690,0.28,9,Pink Sheet,False,False,0.0,4,0.45,0.195,0.0,0.0,0.0,0.0,,Normal,0.28,0,0.01,1625163760690,3.7037,0.01,3.7037,3.7037,False,True,
ABEO,EQUITY,EQUITY,00289Y107,ABEO,Abeona Therapeutics Inc. - Common Stock,1.55,2000,Q,1.56,400,Q,1.56,600,D,1.6,1.6,1.53, ,1.55,0.01,668214,1625262259385,1625270007144,1.55,q,NASD,True,True,0.2748,4,3.7899000000000003,0.9895,0.0,0.0,0.0,0.0,,Normal,1.55,159,0.0,1625256000567,0.6452,0.0,0.0,0.0,True,False,
ABEV,EQUITY,EQUITY,02319V103,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),3.42,2000,P,3.52,3100,P,3.43,250200,N,3.47,3.49,3.41, ,3.43,0.0,16661974,1625270400358,1625266800005,3.43,n,NYSE,True,True,0.06810000000000001,2,3.95,2.13,0.0,20.48,0.01,0.42,2021-01-14 00:00:00.000,Normal,3.43,2502,0.0,1625266800005,0.0,0.0,0.0,0.0,True,False,ADR
ABG,EQUITY,EQUITY,043436104,ABG,Asbury Automotive Group Inc Common Stock,157.9,300,P,250.0,100,P,177.59,28700,N,176.01,179.28,175.33, ,177.59,0.0,145979,1625263207248,1625266800004,177.59,n,NYSE,True,True,0.11040000000000001,2,216.88,76.23,0.0,10.4821,0.0,0.0,,Normal,177.59,287,0.0,1625266800004,0.0,0.0,0.0,0.0,True,False,
ABGI,EQUITY,EQUITY,G00496102,ABGI,ABG Acquisition Corp. I - Class A Ordinary Shares,9.8,1000,K,9.95,1000,P,9.85,0,D,0.0,0.0,0.0, ,9.81,0.04,103,1625256000376,1625083201338,9.8,q,NASD,False,False,0.0,4,10.69,9.63,0.0,0.0,0.0,0.0,,Normal,9.8,1,-0.01,1625083186008,0.4077,-0.01,-0.1019,-0.1019,True,False,
ABIO,EQUITY,EQUITY,00211Y506,ABIO,"ARCA biopharma, Inc. - Common Stock",3.45,200,P,3.59,500,P,3.45,200,P,3.46,3.49,3.4, ,3.47,-0.02,81164,1625268365327,1625267627174,3.47,q,NASD,True,True,0.7707,4,8.61,2.92,0.0,0.0,0.0,0.0,,Normal,3.47,8,0.0,1625256000492,-0.5764,0.0,0.0,0.0,True,False,
ABM,EQUITY,EQUITY,000957100,ABM,ABM Industries Incorporated Common Stock,41.98,0, ,50.0,100,P,44.23,160800,N,44.53,44.695,43.69, ,44.23,0.0,596198,1625270400051,1625266800005,44.23,n,NYSE,True,True,0.0395,2,55.48,31.36,0.0,13.949300000000001,0.76,1.72,2021-06-30 00:00:00.000,Normal,44.23,1608,0.0,1625266800005,0.0,0.0,0.0,0.0,True,False,
ABMC,EQUITY,EQUITY,024600108,ABMC,American Bio Medica Corp. Common Stock,0.0477,0, ,0.0679,0, ,0.0639,200,u,0.059500000000000004,0.0644,0.056600000000000004, ,0.0639,0.0,49680,1625169466983,1625253001424,0.0639,9,Pink Sheet,False,False,0.48310000000000003,4,1.24,0.051500000000000004,0.0,0.0,0.0,0.0,,Normal,0.0639,2,0.0,1625253001424,0.0,0.0,0.0,0.0,False,True,
ABMD,EQUITY,EQUITY,003654100,ABMD,"ABIOMED, Inc. - Common Stock",308.0,100,Q,320.0,100,Q,317.02,0,D,315.49,318.22,312.79, ,317.02,0.0,178054,1625270399459,1625257957750,317.02,q,NASD,True,True,0.0589,4,387.4,242.73,0.0,64.1985,0.0,0.0,,Closed,317.02,372,0.0,1625256000447,0.0,0.0,0.0,0.0,True,False,
ABNB,EQUITY,EQUITY,009066101,ABNB,"Airbnb, Inc. - Class A Common Stock",149.87,100,P,150.1,100,P,149.87,0,D,153.31,154.95,149.56, ,150.23,-0.36,4844712,1625270381924,1625270375915,150.23,q,NASD,True,True,0.0302,4,219.94,121.5,0.0,0.0,0.0,0.0,,Normal,150.23,1127,0.0,1625256001159,-0.2396,0.0,0.0,0.0,True,False,
ABR,EQUITY,EQUITY,038923108,ABR,Arbor Realty Trust Common Stock,17.7,100,P,17.84,1000,P,17.77,54300,N,18.1,18.11,17.6718, ,17.77,0.0,1180554,1625270400681,1625266800005,17.77,n,NYSE,True,True,0.029900000000000003,2,19.49,7.4,0.0,8.36,1.3599999999999999,7.65,2021-05-20 00:00:00.000,Normal,17.77,543,0.0,1625266800005,0.0,0.0,0.0,0.0,True,False,
ABST,EQUITY,EQUITY,00386B109,ABST,Absolute Software Corporation - Common Stock,13.9,700,Q,15.5,100,Q,14.47,500,D,14.5,14.52,14.17, ,14.47,0.0,52312,1625263215898,1625256011568,14.47,q,NASD,False,False,0.09040000000000001,4,21.2,9.36,0.0,72.2,0.25730000000000003,1.78,2021-05-13 00:00:00.000,Closed,14.47,15,0.0,1625256000797,0.0,0.0,0.0,0.0,True,False,
ABT,EQUITY,EQUITY,002824100,ABT,Abbott Laboratories Common Stock,115.0,100,P,118.04,100,P,118.04,0,N,116.92,118.25,116.65, ,118.04,0.0,4787292,1625270400079,1625269593881,118.04,n,NYSE,True,True,0.0201,2,128.54,91.4984,0.0,36.7654,1.8,1.52,2021-07-14 00:00:00.000,Normal,118.04,16000,0.0,1625266800005,0.0,0.0,0.0,0.0,True,False,
ABTX,EQUITY,EQUITY,01748H107,ABTX,"Allegiance Bancshares, Inc. - Common Stock",30.05,0,Q,41.0,400,Q,38.16,1400,D,38.75,38.85,38.12, ,38.16,0.0,37825,1625256010003,1625262264926,38.16,q,NASD,True,True,0.1621,4,43.34,21.445,0.0,13.0137,0.48,1.26,2021-05-27 00:00:00.000,Closed,38.16,75,0.0,1625256000911,0.0,0.0,0.0,0.0,True,False,
ABUS,EQUITY,EQUITY,03879J100,ABUS,Arbutus Biopharma Corporation - Common Stock,2.98,5000,K,3.02,5000,P,3.03,100,Q,3.1111,3.1111,2.92, ,2.95,0.08,1768983,1625270355295,1625270194249,2.95,q,NASD,False,False,0.0921,4,9.02,1.71,0.0,0.0,0.0,0.0,,Normal,2.95,232,0.0,1625256000624,2.7119,0.0,0.0,0.0,True,False,
AC,EQUITY,EQUITY,045528106,AC,"Associated Capital Group, Inc. Common Stock",0.0001,0, ,44.67,400,K,39.33,1000,N,39.6,40.0826,38.6934, ,39.33,0.0,16638,1625256001391,1625266800001,39.33,n,NYSE,True,True,0.3044,2,42.38,30.21,0.0,7.9208,0.2,0.51,2021-06-14 00:00:00.000,Normal,39.33,10,0.0,1625266800001,0.0,0.0,0.0,0.0,True,False,
ACA,EQUITY,EQUITY,039653100,ACA,"Arcosa, Inc. Common Stock",52.95,1000,P,68.5,0, ,58.04,15700,N,58.57,58.57,57.5, ,58.04,0.0,141973,1625270400081,1625266800003,58.04,n,NYSE,True,True,0.0675,2,68.46,37.25,0.0,31.1833,0.2,0.34,2021-07-14 00:00:00.000,Normal,58.04,157,0.0,1625266800003,0.0,0.0,0.0,0.0,True,False,
ACAD,EQUITY,EQUITY,004225108,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,24.2,200,Q,24.59,1000,P,24.3,0,D,24.73,24.77,24.05, ,24.3,0.0,1129277,1625270270337,1625257033098,24.3,q,NASD,True,True,0.043500000000000004,4,58.72,19.2,0.0,0.0,0.0,0.0,,Normal,24.3,2904,0.0,1625256000551,0.0,0.0,0.0,0.0,True,False,
ACAH,EQUITY,EQUITY,048453104,ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,9.6,100,Q,9.69,500,Q,9.63,1500,D,9.63,9.67,9.63, ,9.63,0.0,16367,1625256004020,1625240800987,9.63,q,NASD,False,False,0.107,4,9.99,9.62,0.0,0.0,0.0,0.0,,Normal,9.63,15,0.0,1625240800987,0.0,0.0,0.0,0.0,True,False,
